順位,タイトル,評価,上映日,監督名,製作国,上映時間,ジャンル
1,正体,4.2,2024年11月29日,藤井道人,日本,120分,サスペンス
2,リロ＆スティッチ,4.8,2025年,小寺和久,アメリカ,58分,"コメディ,アクション,アドベンチャー・冒険"
3,片思い世界,5.0,2025年04月,横浜流星,日本,102分,アニメ
4,ルックバック,-,2024年06月28日,吉岡里帆,日本,100分,アニメ
5,ロボット・ドリームズ,-,2024年11月08日,ディーン・フライシャー・キャンプ,スペイン,86分,アニメ
6,インサイド・ヘッド２,-,2024年08月01日,Chris Kekaniokalani Bright,アメリカ,120分,オムニバス
7,アット・ザ・ベンチ,-,2024年11月15日,クリス・サンダース,日本,160分,"アクション,サスペンス,スリラー"
8,アマチュア,4.2,2025年04月11日,マイア・ケアロハ,カナダ,121分,クライム
9,アングリースクワッド 公務員と7人の詐欺師,5.0,2024年11月22日,土井裕泰,日本,102分,"恋愛,ミュージカル,ファンタジー"
10,ウィキッド ふたりの魔女,4.5,2025年,坂元裕二,アメリカ,116分,ホラー
11,テリファー 聖夜の悪夢,4.2,2024年11月29日,広瀬すず,アメリカ,169分,スリラー
12,ドリーム・シナリオ,3.8,2024年11月22日,杉咲花,アメリカ,109分,ドラマ
13,ザ・バイクライダーズ,3.6,2024年11月29日,押山清高,アメリカ,132分,"ドラマ,SF,アドベンチャー・冒険"
14,インターステラー,4.0,2014年11月22日,押山清高,アメリカ,90分,"ドラマ,スポーツ,コメディ"
15,ぼくとパパ、約束の週末,4.0,2024年11月15日,河合優実,ドイツ,128分,恋愛
16,雨の中の慾情,3.8,2024年11月29日,吉田美月喜,日本,148分,"ホラー,スリラー"
17,シンパシー・フォー・ザ・デビル,4.2,2025年02月28日,パブロ・ベルヘル,アメリカ,171分,"ドラマ,SF,アドベンチャー・冒険"
18,動物界,3.9,2024年11月08日,パブロ・ベルヘル,フランス,138分,"アクション,アドベンチャー・冒険"
19,グラディエーターII 英雄を呼ぶ声,4.0,2024年11月15日,ケルシー・マン,イギリス,113分,"アクション,スリラー"
20,JAWAN／ジャワーン,-,2024年11月29日,メグ・レフォーヴ,インド,89分,ドラマ
21,ANORA アノーラ,-,2025年02月28日,エイミー・ポーラー,アメリカ,88分,"アニメ,アドベンチャー・冒険"
22,ライオン・キング：ムファサ,-,2024年12月20日,マヤ・サーマン＝ホーク,アメリカ,118分,"青春,サスペンス,ミステリー"
23,六人の嘘つきな大学生,4.0,2024年11月22日,奥⼭由之,日本,100分,恋愛
24,ファーストキス 1ST KISS,3.5,2025年02月07日,生方美久,日本,102分,アニメ
25,劇場版モノノ怪　唐傘,4.0,2024年07月26日,広瀬すず,日本,99分,アニメ
26,映画を愛する君へ,4.4,2025年01月31日,仲野太賀,フランス,109分,"アニメ,ミュージカル,ファミリー"
27,メタモルフォーゼの縁側,5.0,2022年06月17日,ジェームズ・ホーズ,日本,25分,"青春,コメディ"
28,モアナと伝説の海2,5.0,2024年12月06日,ラミ・マレック,アメリカ,128分,アニメ
29,アナと雪の女王,3.8,2014年03月14日,ローレンス・フィッシュバーン,アメリカ,155分,アクション
30,I Like Movies アイ・ライク・ムービーズ,3.4,2024年12月27日,上田慎一郎,カナダ,データなし,"アニメ,ショートフィルム・短編"
31,LUPIN THE IIIRD THE MOVIE（仮題）,4.4,2025年,上田慎一郎,日本,データなし,サスペンス
32,ヴェノム：ザ・ラストダンス,3.6,2024年11月01日,内野聖陽,アメリカ,データなし,"アクション,歴史"
33,ONE PIECE FAN LETTER,4.0,2024年08月23日,岡田将生,日本,データなし,コメディ
34,ラストマイル,4.0,2000年06月17日,ジョン・チュウ,日本,データなし,データなし
35,グラディエーター,3.7,2024年12月13日,ウィニー・ホルツマン,アメリカ,データなし,データなし
36,はたらく細胞,4.8,データなし,シンシア・エリヴォ,日本,データなし,データなし
